Tweet,Sentiment
@AMDhananjay @nagsampath If you want to prove links between Cong &amp; Karni Sena why some BJP CM'S were opposing the m… https://t.co/M6ddixukHt,Positive
RT @UJJWALREDDY7: @djohninc @INCTelangana @narendramodi @BJP4India @almaskhaninc @GonguRaj @AadithINC @BansaliSanjay Don't release the movi…,Positive
Wonderful Movie...delighted after watching #padmavathi @deepikapadukone,Positive
"Padmavath what a good movie 
I am proud i am living in this country ....i love you padmavathi",Positive
"@ShekharGupta @KanchanGupta And in Karnataka, some goons hurled petrol bomb on the cinema theater which screening P… https://t.co/ZwdHW8G5Vb",Positive
"Padmavathi sorry #PADMAAVAT

After watching the movie,,  i understood how much important #PRIDE is for #Rajputs... https://t.co/H0saaJtjFo",Positive
""" Padmavathi "" a fantastic movie of grandeur. Wonder we jump to conclusions even without watching the movie.... https://t.co/Svi9SemIdG",Positive
@SanjayLeelaB U have made an epic movie. Watched 1st day 1st show and want to confirm to entire india that the assh… https://t.co/VbJvrDUH7B,Positive
@subhramaniyan29 @itisprashanth No one can do khilji as spectacular as Ranveer @RanveerOfficial and no one can pull… https://t.co/p9aDUUnbgH,Positive
Watched Padmavathi in Telugu Excllent movie Superb Acting @deepikapadukone @RanveerOfficial @shahidkapoor if is pos… https://t.co/0GG0VuBAXv,Positive
Great history so Great Script..Great Script so Great movie.. Great Movie so Great Action Rani Padmavathi very inter… https://t.co/pe1Rq14HYX,Positive
RT @SathishPinnoju: @paddi_567 @deepikapadukone @tejeswini18 @Sivakum32286463 @Nanism13 @Bhanu_Steyn @ursramyaleela @Jahnavi_4 @nanivaani @…,Positive
"பத்மாவதி திரை விமர்சனம் @DoneChannel1 @deepikapadukone , @RanveerOfficial @aditiraohydari  
#Padmavat #Padmavati… https://t.co/4wJZOSoAqV",Positive
watching Padmavathi - Movie at MT Cinema https://t.co/QhIkPIiHAQ,Positive
There is not a single frame which shown vulgarity of padmavathi in the movie....fire those ppl in jail who are maki… https://t.co/3qzwItwB04,Positive
